asset_id,object_id,source_id,source_url,original_filename,sha256,provider,edition,survey_date,publication_date,format_conversion_date,retrieved_at,license_name,license_url,attribution_text,third_party_rights_review,horizontal_crs,vertical_datum,local_origin,coverage_geometry,city_lod,render_lod,accuracy_statement,verification_status,modifications,game_added,paintable,destructible,reviewer,notes
plateau:tran_da5ca209-9ac9-457b-b687-0867c29e79db,tran_da5ca209-9ac9-457b-b687-0867c29e79db,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-171.404, 10.566, -19.176, -162.489, 10.567, 2.681]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_93688450-af66-420b-b64e-af4103ce789a,tran_93688450-af66-420b-b64e-af4103ce789a,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-183.0, 11.052, -200.555, -175.09, 11.056, -185.024]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_b791394e-75c9-44cd-a8d4-4909503b93f9,tran_b791394e-75c9-44cd-a8d4-4909503b93f9,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-165.0, 10.461, -67.504, -154.5, 10.487, -56.125]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_50475a05-a985-465a-9b88-a5c58901de14,tran_50475a05-a985-465a-9b88-a5c58901de14,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-70.731, 10.824, -51.234, -43.18, 10.832, -32.702]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_d59972a6-8baa-46ab-b200-2813533e4410,tran_d59972a6-8baa-46ab-b200-2813533e4410,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-148.192, 11.074, -196.66, -141.329, 11.078, -181.082]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_3df9f3a8-f61b-4bbd-8099-6ddc8a0e5afb,tran_3df9f3a8-f61b-4bbd-8099-6ddc8a0e5afb,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-42.93, 10.947, -112.727, -11.51, 10.986, -91.366]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_fa69b632-2935-460f-b83f-ef92a9058b07,tran_fa69b632-2935-460f-b83f-ef92a9058b07,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-51.18, 11.135, -186.305, -43.579, 11.14, -170.701]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_286a846f-2d7a-47c6-86bf-c4e01aa6e3a1,tran_286a846f-2d7a-47c6-86bf-c4e01aa6e3a1,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-158.59, 10.612, -116.652, -148.918, 10.643, -106.234]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_e05948e7-2d66-4a7b-a5f6-0c8a49a68edd,tran_e05948e7-2d66-4a7b-a5f6-0c8a49a68edd,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-168.442, 10.461, -57.055, -157.282, 10.567, -18.332]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
plateau:tran_9bf283de-c4ec-42b5-9403-47cf548fc294,tran_9bf283de-c4ec-42b5-9403-47cf548fc294,S01,https://assets.cms.plateau.reearth.io/assets/1a/f59166-6796-482d-b59d-cb9bfed3ddeb/21201_gifu-shi_city_2024_citygml_1_op.zip,udx/tran/53360690_tran_6697_op.gml,55511bdf46b86734857c51316c58a36fd6c28d624daa121158806cbf5fbb1e79,岐阜市 / Project PLATEAU,2024年度,,,,2026-09-05T04:59:15.082723+00:00,CC BY4.0,https://creativecommons.org/licenses/by/4.0/,岐阜市 3D都市モデル（Project PLATEAU）を加工して作成。地物の切り出し・座標変換・三角形分割：MachiShift。自治体の公式ゲームではありません。,geometry dataset license confirmed; textures omitted; individual artwork review pending,EPSG:6668 to EPSG:6675,EPSG:6697 JGD2011 height,"[35.4107, 136.7595, 0.0]","[-232.102, 10.554, -27.401, -97.393, 10.78, 25.144]",3,original_triangulated,Independent measurements not performed,source_only,"subset,coordinate conversion,triangulation; terrain road cut if kind terrain",false,runtime surface dependent,false,,source_height_preserved
